"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","838","amountIn 0.123456789012 is rounded half-up to the source quantityPrecision","tests.integration","2026-07-21","passed","2026-07-21","","test_amount_validation","",""
"","7034","Conversion 420 TRX -> USDT settles with correct amounts","tests.e2e","2026-07-21","passed","2026-07-21","","test_conversion","",""
"","706","Liveness: /health reports system metrics","tests.smoke","2026-07-21","passed","2026-07-21","","test_liveness","",""
"","1351","A quote whose from currency mismatches the source wallet is rejected","tests.integration","2026-07-21","passed","2026-07-21","","test_invalid_references","",""
"","331","A quote with a zero amount is rejected","tests.integration","2026-07-21","passed","2026-07-21","","test_amount_validation","",""
"","9847","Conversion 0.12345678 ETH -> TRX settles with correct amounts","tests.e2e","2026-07-21","passed","2026-07-21","","test_conversion","",""
"","1144","The create response and an immediate get return the same quote","tests.integration","2026-07-21","passed","2026-07-21","","test_parity","",""
"","0","amountIn 0.123456785 is rounded half-up to the source quantityPrecision","tests.integration","2026-07-21","skipped","2026-07-21","","test_amount_validation","",""
"","8002","Accepting a quote does not move balances before settlement","tests.e2e","2026-07-21","passed","2026-07-21","","test_quote_timing","",""
"","11269","Re-accepting a settled quote is rejected and does not convert twice","tests.e2e","2026-07-21","passed","2026-07-21","","test_quote_lifecycle","",""
"","642","A quote for more than the wallet balance is rejected at create","tests.integration","2026-07-21","passed","2026-07-21","","test_amount_validation","",""
"","632","amountIn 0.123456781234 is rounded half-up to the source quantityPrecision","tests.integration","2026-07-21","passed","2026-07-21","","test_amount_validation","",""
"","1131","Getting an unknown wallet id returns 404","tests.integration","2026-07-21","passed","2026-07-21","","test_invalid_references","",""
"","859","A quote using another customer's wallet id is rejected and leaves it untouched","tests.integration","2026-07-21","passed","2026-07-21","","test_invalid_references","",""
"","512","Getting an unknown quote uuid returns 404","tests.integration","2026-07-21","passed","2026-07-21","","test_invalid_references","",""
"","0","A quote with a negative amount is rejected","tests.integration","2026-07-21","skipped","2026-07-21","","test_amount_validation","",""
"","1994","A quote with an unknown currency code is rejected","tests.integration","2026-07-21","passed","2026-07-21","","test_invalid_references","",""
"","726","Liveness: /echo round-trips an authenticated payload","tests.smoke","2026-07-21","passed","2026-07-21","","test_liveness","",""
"","7538","Converting the full wallet balance drains the wallet to exactly zero","tests.e2e","2026-07-21","passed","2026-07-21","","test_conversion","",""
"","8460","An immediate second accept is rejected and the quote settles exactly once","tests.e2e","2026-07-21","passed","2026-07-21","","test_quote_lifecycle","",""
"","21821","A quote accepted late in its window still settles correctly","tests.e2e","2026-07-21","passed","2026-07-21","","test_quote_timing","",""
"","23996","An expired quote cannot be accepted and leaves balances untouched","tests.e2e","2026-07-21","passed","2026-07-21","","test_quote_timing","",""
"","0","Two concurrently accepted quotes both settle with their combined impact","tests.e2e","2026-07-21","skipped","2026-07-21","","test_quote_lifecycle","",""
"","10195","Conversion 987 TRX -> ETH settles with correct amounts","tests.e2e","2026-07-21","passed","2026-07-21","","test_conversion","",""
"","9101","Conversion 1 ETH -> TRX settles with correct amounts","tests.e2e","2026-07-21","passed","2026-07-21","","test_conversion","",""
"","877","Accepting an unknown quote uuid returns 404","tests.integration","2026-07-21","passed","2026-07-21","","test_invalid_references","",""
"","432","A quote reads identically via the list and the single-quote endpoint","tests.integration","2026-07-21","passed","2026-07-21","","test_parity","",""
"","2472","A created quote echoes the requested pair, amount, and wallet ids","tests.integration","2026-07-21","passed","2026-07-21","","test_parity","",""
"","553","Every wallet reads identically via the list and the single-wallet endpoint","tests.integration","2026-07-21","passed","2026-07-21","","test_parity","",""
"","8297","Conversion 420.5 TRX -> USDT settles with correct amounts","tests.e2e","2026-07-21","passed","2026-07-21","","test_conversion","",""
"","12784","Two sequential conversions on one customer accumulate correctly","tests.e2e","2026-07-21","passed","2026-07-21","","test_quote_lifecycle","",""
"","0","Quote fee is consistent with its own reported amountIn","tests.integration","2026-07-21","skipped","2026-07-21","","test_amount_validation","",""
